,NDPD1,NHAPD1,NIPD1,NRPD1,NDPD2,NHAPD2,NIPD2,NRPD2,HOCC1PD,HOCC2PD,NPPD1,NPPD2
16497,234,653,2386,2111,146,464,1403,1252,6299303,5329677,234,146
16498,238,655,2452,2178,132,485,1430,1260,6299720,5330030,238,132
16499,238,560,2398,2199,146,445,1395,1241,6300042,5330329,238,146
16500,220,670,2459,2160,158,435,1355,1223,6300492,5330606,220,158
16501,239,648,2504,2216,133,475,1414,1254,6300901,5330948,239,133
16502,251,580,2480,2300,117,494,1448,1225,6301230,5331325,251,117
16503,233,628,2448,2214,118,477,1457,1316,6301625,5331684,233,118
16504,237,600,2388,2164,132,455,1360,1252,6301988,5332007,237,132
16505,229,650,2544,2276,143,464,1449,1314,6302409,5332328,229,143
16506,246,640,2464,2207,143,475,1436,1277,6302803,5332660,246,143
16507,228,599,2414,2173,143,450,1389,1272,6303174,5332967,228,143
16508,209,642,2520,2253,151,434,1415,1308,6303607,5333250,209,151
16509,228,652,2482,2231,138,414,1358,1280,6304031,5333526,228,138
16510,228,613,2487,2259,155,491,1489,1305,6304416,5333862,228,155
16511,230,607,2475,2244,158,464,1411,1236,6304793,5334168,230,158
16512,231,569,2426,2226,150,491,1438,1279,6305131,5334509,231,150
16513,268,651,2538,2265,122,448,1343,1217,6305514,5334835,268,122
16514,226,671,2542,2248,147,429,1322,1212,6305959,5335117,226,147
16515,243,606,2396,2175,134,498,1498,1326,6306322,5335481,243,134
16516,228,608,2412,2195,146,457,1406,1305,6306702,5335792,228,146
16517,259,614,2388,2174,129,457,1400,1259,6307057,5336120,259,129
16518,242,638,2517,2275,134,435,1297,1151,6307453,5336421,242,134
16519,235,650,2525,2253,161,441,1381,1244,6307868,5336701,235,161
16520,232,627,2502,2278,125,503,1426,1271,6308263,5337079,232,125
16521,238,592,2419,2205,140,473,1386,1249,6308617,5337412,238,140
16522,214,611,2524,2328,127,444,1367,1233,6309014,5337729,214,127
16523,245,583,2441,2260,136,432,1357,1298,6309352,5338025,245,136
16524,254,588,2390,2189,136,464,1349,1189,6309686,5338353,254,136
16525,228,640,2482,2233,146,492,1469,1278,6310098,5338699,228,146
16526,253,661,2441,2159,138,426,1359,1253,6310506,5338987,253,138
16527,227,585,2447,2266,142,449,1353,1206,6310864,5339294,227,142
16528,246,645,2488,2198,140,429,1423,1264,6311263,5339583,246,140
16529,248,563,2337,2165,130,475,1442,1267,6311578,5339928,248,130
16530,256,626,2567,2350,121,411,1306,1184,6311948,5340218,256,121
16531,225,607,2496,2284,137,424,1370,1267,6312330,5340505,225,137
16532,218,641,2475,2229,123,448,1400,1254,6312753,5340830,218,123
16533,236,598,2511,2302,146,427,1404,1272,6313115,5341111,236,146
16534,244,646,2445,2170,125,508,1461,1261,6313517,5341494,244,125
16535,227,584,2411,2222,138,494,1440,1274,6313874,5341850,227,138
16536,228,614,2471,2206,132,447,1343,1182,6314260,5342165,228,132
16537,241,647,2534,2292,150,429,1395,1289,6314666,5342444,241,150
16538,221,620,2473,2192,127,425,1347,1233,6315065,5342742,221,127
16539,206,622,2449,2186,137,481,1445,1280,6315481,5343086,206,137
16540,225,597,2476,2279,140,463,1387,1217,6315853,5343409,225,140
16541,270,601,2462,2229,141,488,1429,1272,6316184,5343756,270,141
16542,240,598,2534,2294,146,480,1405,1291,6316542,5344090,240,146
16543,267,623,2392,2141,129,459,1411,1256,6316898,5344420,267,129
16544,259,626,2513,2249,139,438,1427,1322,6317265,5344719,259,139
16545,207,575,2334,2142,152,460,1380,1260,6317633,5345027,207,152
16546,228,595,2467,2263,149,434,1417,1310,6318000,5345312,228,149
16547,250,579,2463,2262,135,465,1365,1204,6318329,5345642,250,135
16548,221,634,2455,2191,126,501,1403,1233,6318742,5346017,221,126
16549,261,625,2554,2294,137,402,1287,1216,6319106,5346282,261,137
16550,233,612,2426,2215,127,473,1405,1296,6319485,5346628,233,127
16551,228,621,2384,2143,129,451,1366,1215,6319878,5346950,228,129
16552,236,670,2479,2193,141,453,1425,1270,6320312,5347262,236,141
16553,233,617,2456,2216,162,460,1395,1248,6320696,5347560,233,162
16554,224,562,2371,2194,136,446,1375,1230,6321034,5347870,224,136
16555,230,619,2459,2198,127,432,1380,1245,6321423,5348175,230,127
16556,252,613,2462,2233,126,485,1371,1227,6321784,5348534,252,126
16557,240,598,2435,2200,119,438,1378,1231,6322142,5348853,240,119
16558,244,619,2507,2245,157,419,1334,1233,6322517,5349115,244,157
16559,227,611,2532,2288,134,496,1456,1294,6322901,5349477,227,134
16560,229,563,2436,2255,131,475,1448,1339,6323235,5349821,229,131
16561,241,601,2454,2200,140,490,1448,1269,6323595,5350171,241,140
16562,225,613,2403,2154,135,479,1422,1262,6323983,5350515,225,135
16563,218,603,2460,2234,147,462,1412,1265,6324368,5350830,218,147
16564,225,655,2518,2227,156,453,1350,1258,6324798,5351127,225,156
16565,209,575,2406,2191,134,501,1432,1229,6325164,5351494,209,134
16566,238,615,2442,2238,134,471,1414,1302,6325541,5351831,238,134
16567,246,638,2499,2234,132,469,1430,1277,6325933,5352168,246,132
16568,234,660,2562,2290,129,426,1322,1232,6326359,5352465,234,129
16569,246,639,2488,2200,140,490,1416,1238,6326752,5352815,246,140
16570,243,619,2453,2229,139,459,1418,1309,6327128,5353135,243,139
16571,235,614,2517,2316,143,471,1418,1277,6327507,5353463,235,143
16572,242,626,2474,2216,124,481,1407,1255,6327891,5353820,242,124
16573,242,634,2384,2124,144,483,1434,1288,6328283,5354159,242,144
16574,239,632,2447,2217,156,439,1361,1254,6328676,5354442,239,156
16575,209,607,2454,2222,137,452,1412,1267,6329074,5354757,209,137
16576,253,621,2410,2159,151,470,1382,1221,6329442,5355076,253,151
16577,207,586,2446,2188,125,485,1437,1267,6329821,5355436,207,125
16578,254,624,2511,2274,159,461,1417,1263,6330191,5355738,254,159
16579,225,592,2521,2326,163,466,1403,1256,6330558,5356041,225,163
16580,243,638,2496,2226,165,501,1458,1296,6330953,5356377,243,165
16581,228,546,2366,2199,144,451,1382,1261,6331271,5356684,228,144
16582,235,614,2461,2183,133,477,1405,1249,6331650,5357028,235,133
16583,214,614,2446,2234,134,451,1415,1289,6332050,5357345,214,134
16584,260,612,2356,2185,166,445,1315,1220,6332402,5357624,260,166
