,NDPD1,NHAPD1,NIPD1,NRPD1,NDPD2,NHAPD2,NIPD2,NRPD2,HOCC1PD,HOCC2PD,NPPD1,NPPD2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,622,2487,1884,13,505,1441,964,610,492,12,13
2,40,622,2428,1884,35,473,1388,985,1192,930,40,35
3,89,610,2530,2029,54,534,1428,980,1713,1410,89,54
4,95,620,2511,2056,61,441,1429,1119,2238,1790,95,61
5,121,601,2491,2079,67,471,1392,1079,2718,2194,121,67
6,125,598,2439,2038,77,469,1423,1143,3191,2586,125,77
7,149,602,2433,2085,83,486,1420,1109,3644,2989,149,83
8,144,646,2505,2103,89,475,1469,1213,4146,3375,144,89
9,168,640,2510,2153,106,459,1363,1145,4618,3728,168,106
10,177,550,2327,2052,80,448,1359,1153,4991,4096,177,80
11,178,582,2473,2173,86,466,1395,1182,5395,4476,178,86
12,182,639,2439,2113,129,499,1401,1146,5852,4846,182,129
13,184,593,2468,2130,116,468,1387,1219,6261,5198,184,116
14,190,609,2377,2084,117,431,1323,1178,6680,5512,190,117
15,207,618,2439,2141,131,469,1370,1200,7091,5850,207,131
16,206,651,2491,2165,130,484,1409,1251,7536,6204,206,130
17,224,626,2512,2233,119,480,1439,1277,7938,6565,224,119
18,213,623,2365,2075,136,422,1332,1199,8348,6851,213,136
19,226,586,2404,2183,117,470,1401,1224,8708,7204,226,117
20,225,592,2482,2239,123,471,1369,1218,9075,7552,225,123
21,207,586,2483,2244,143,447,1363,1226,9454,7856,207,143
22,221,634,2395,2107,137,497,1459,1307,9867,8216,221,137
23,227,662,2489,2206,149,473,1410,1222,10302,8540,227,149
24,220,603,2446,2187,122,457,1380,1225,10685,8875,220,122
25,217,597,2500,2286,136,457,1380,1254,11065,9196,217,136
26,223,608,2492,2244,133,480,1395,1234,11450,9543,223,133
27,234,665,2501,2210,139,471,1373,1203,11881,9875,234,139
28,221,637,2497,2259,145,484,1435,1264,12297,10214,221,145
29,232,612,2487,2277,153,443,1397,1274,12677,10504,232,153
30,219,608,2479,2247,147,465,1392,1235,13066,10822,219,147
31,220,608,2523,2289,129,431,1412,1312,13454,11124,220,129
32,255,623,2530,2302,146,483,1475,1307,13822,11461,255,146
33,244,591,2374,2150,154,479,1414,1262,14169,11786,244,154
34,218,569,2470,2281,117,463,1396,1264,14520,12132,218,117
35,226,548,2345,2162,147,436,1324,1201,14842,12421,226,147
36,221,610,2417,2154,149,476,1427,1290,15231,12748,221,149
37,228,618,2505,2284,147,474,1432,1247,15621,13075,228,147
38,224,629,2578,2328,144,443,1377,1250,16026,13374,224,144
39,254,621,2398,2167,144,452,1363,1197,16393,13682,254,144
40,220,584,2334,2140,148,482,1416,1268,16757,14016,220,148
41,234,613,2460,2223,139,464,1429,1293,17136,14341,234,139
42,214,622,2461,2213,117,484,1385,1201,17544,14708,214,117
43,238,651,2519,2271,150,421,1372,1281,17957,14979,238,150
44,221,573,2503,2298,153,451,1375,1235,18309,15277,221,153
45,258,672,2490,2223,128,490,1450,1288,18723,15639,258,128
46,232,615,2531,2272,128,432,1396,1312,19106,15943,232,128
47,232,598,2474,2249,127,431,1331,1219,19472,16247,232,127
48,227,628,2490,2261,133,480,1413,1240,19873,16594,227,133
49,253,605,2484,2233,146,486,1405,1231,20225,16934,253,146
50,226,642,2475,2210,155,475,1403,1290,20641,17254,226,155
51,231,599,2438,2226,143,445,1369,1236,21009,17556,231,143
52,215,618,2429,2203,154,490,1410,1220,21412,17892,215,154
53,218,600,2436,2225,141,467,1384,1227,21794,18218,218,141
54,208,597,2439,2185,145,489,1410,1262,22183,18562,208,145
55,231,576,2409,2226,127,466,1407,1259,22528,18901,231,127
56,233,654,2494,2229,132,461,1422,1284,22949,19230,233,132
57,227,617,2403,2169,160,471,1420,1262,23339,19541,227,160
58,258,607,2547,2335,121,461,1385,1262,23688,19881,258,121
59,240,617,2524,2295,141,450,1400,1286,24065,20190,240,141
60,242,659,2534,2279,131,469,1410,1277,24482,20528,242,131
61,222,622,2481,2255,142,448,1421,1309,24882,20834,222,142
62,226,612,2374,2159,117,457,1373,1238,25268,21174,226,117
63,240,590,2455,2258,144,453,1405,1283,25618,21483,240,144
64,241,617,2508,2295,139,465,1391,1255,25994,21809,241,139
65,242,651,2458,2163,135,428,1372,1259,26403,22102,242,135
66,214,604,2447,2183,139,520,1465,1293,26793,22483,214,139
67,242,627,2453,2228,141,472,1465,1285,27178,22814,242,141
68,242,604,2443,2201,160,469,1400,1239,27540,23123,242,160
69,237,625,2526,2321,148,475,1437,1303,27928,23450,237,148
70,246,597,2437,2203,143,459,1299,1142,28279,23766,246,143
71,236,663,2474,2180,161,460,1373,1208,28706,24065,236,161
72,225,652,2544,2275,163,509,1437,1258,29133,24411,225,163
73,237,578,2383,2192,145,514,1447,1260,29474,24780,237,145
74,222,574,2450,2257,144,456,1381,1229,29826,25092,222,144
75,228,603,2475,2232,145,491,1419,1281,30201,25438,228,145
76,223,604,2474,2267,145,456,1395,1249,30582,25749,223,145
77,226,637,2503,2256,131,483,1402,1272,30993,26101,226,131
78,240,633,2432,2181,138,449,1394,1246,31386,26412,240,138
79,195,644,2474,2246,180,454,1366,1232,31835,26686,195,180
80,242,598,2492,2297,142,457,1437,1323,32191,27001,242,142
81,215,605,2523,2320,144,490,1410,1225,32581,27347,215,144
82,220,610,2506,2265,149,477,1440,1305,32971,27675,220,149
83,250,607,2458,2238,147,465,1383,1228,33328,27993,250,147
84,232,606,2444,2224,141,487,1413,1263,33702,28339,232,141
85,222,603,2524,2303,152,499,1436,1265,34083,28686,222,152
86,223,625,2449,2181,149,450,1385,1255,34485,28987,223,149
87,223,612,2546,2326,137,450,1426,1333,34874,29300,223,137
88,219,671,2488,2195,154,463,1374,1241,35326,29609,219,154
89,235,645,2433,2136,124,442,1371,1245,35736,29927,235,124
90,232,613,2428,2222,132,453,1398,1266,36117,30248,232,132
91,220,622,2434,2226,125,491,1415,1259,36519,30614,220,125
92,243,625,2481,2258,159,457,1400,1274,36901,30912,243,159
93,236,631,2445,2203,142,459,1429,1290,37296,31229,236,142
94,253,653,2488,2218,140,444,1352,1229,37696,31533,253,140
95,243,652,2619,2367,129,498,1448,1272,38105,31902,243,129
96,221,659,2487,2208,160,428,1338,1212,38543,32170,221,160
97,246,584,2401,2211,135,460,1399,1247,38881,32495,246,135
98,250,617,2496,2292,138,449,1395,1300,39248,32806,250,138
99,232,568,2410,2229,144,488,1463,1298,39584,33150,232,144
100,242,643,2445,2188,142,492,1402,1253,39985,33500,242,142
101,237,609,2506,2253,155,445,1353,1253,40357,33790,237,155
102,242,630,2437,2222,139,468,1366,1208,40745,34119,242,139
103,208,644,2495,2240,136,471,1420,1264,41181,34454,208,136
104,248,602,2471,2256,141,472,1446,1304,41535,34785,248,141
105,236,647,2592,2329,152,414,1357,1264,41946,35047,236,152
106,236,637,2504,2274,153,480,1398,1231,42347,35374,236,153
107,231,594,2426,2202,157,458,1418,1250,42710,35675,231,157
108,246,607,2499,2276,150,450,1428,1262,43071,35975,246,150
109,235,596,2455,2283,119,464,1439,1275,43432,36320,235,119
110,225,660,2517,2222,164,497,1445,1269,43867,36653,225,164
111,237,656,2482,2226,174,473,1390,1234,44286,36952,237,174
112,262,624,2453,2239,135,428,1413,1317,44648,37245,262,135
113,231,605,2436,2243,137,451,1377,1237,45022,37559,231,137
114,246,629,2491,2233,113,436,1390,1286,45405,37882,246,113
115,257,575,2390,2191,135,467,1359,1244,45723,38214,257,135
116,238,606,2509,2286,147,469,1427,1234,46091,38536,238,147
117,218,572,2419,2220,148,471,1431,1278,46445,38859,218,148
118,202,664,2465,2159,142,424,1364,1280,46907,39141,202,142
119,246,581,2460,2274,140,446,1301,1197,47242,39447,246,140
120,231,603,2523,2294,148,438,1382,1256,47614,39737,231,148
121,232,616,2496,2262,153,462,1433,1285,47998,40046,232,153
122,228,588,2483,2306,125,459,1409,1256,48358,40380,228,125
123,224,640,2486,2223,143,492,1426,1265,48774,40729,224,143
124,216,645,2423,2180,152,477,1422,1239,49203,41054,216,152
125,226,687,2540,2229,146,497,1434,1239,49664,41405,226,146
126,227,569,2438,2221,131,480,1379,1227,50006,41754,227,131
127,249,614,2471,2248,116,441,1406,1283,50371,42079,249,116
128,193,623,2461,2204,167,465,1396,1240,50801,42377,193,167
129,243,643,2533,2316,147,475,1391,1236,51201,42705,243,147
130,226,619,2469,2217,143,455,1424,1317,51594,43017,226,143
131,233,632,2475,2238,149,463,1366,1218,51993,43331,233,149
132,252,619,2464,2230,137,489,1428,1277,52360,43683,252,137
133,229,591,2424,2221,136,471,1366,1195,52722,44018,229,136
134,226,614,2414,2206,136,430,1406,1281,53110,44312,226,136
