,NDPD1,NHAPD1,NIPD1,NRPD1,NDPD2,NHAPD2,NIPD2,NRPD2,HOCC1PD,HOCC2PD,NPPD1,NPPD2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,597,2453,1881,12,472,1414,965,589,460,8,12
2,52,585,2392,1877,26,468,1430,1018,1122,902,52,26
3,77,599,2468,1956,40,472,1425,1050,1644,1334,77,40
4,85,628,2490,2024,58,471,1367,1025,2187,1747,85,58
5,116,625,2516,2092,67,471,1366,1046,2696,2151,116,67
6,133,614,2426,2009,76,487,1391,1072,3177,2562,133,76
7,128,629,2466,2071,86,467,1395,1120,3678,2943,128,86
8,137,642,2498,2095,90,453,1343,1123,4183,3306,137,90
9,176,612,2561,2209,99,469,1405,1139,4619,3676,176,99
10,196,647,2490,2124,97,456,1457,1268,5070,4035,196,97
11,156,608,2449,2147,107,465,1409,1227,5522,4393,156,107
12,185,588,2476,2177,105,452,1367,1174,5925,4740,185,105
13,198,607,2504,2234,127,456,1364,1153,6334,5069,198,127
14,200,644,2511,2171,122,448,1354,1183,6778,5395,200,122
15,207,549,2460,2235,100,468,1414,1213,7120,5763,207,100
16,207,606,2460,2196,122,486,1433,1258,7519,6127,207,122
17,199,552,2389,2196,141,441,1353,1209,7872,6427,199,141
18,236,577,2413,2166,140,415,1340,1226,8213,6702,236,140
19,212,597,2441,2195,131,457,1350,1167,8598,7028,212,131
20,223,653,2529,2233,167,476,1408,1230,9028,7337,223,167
21,208,620,2478,2226,133,481,1409,1213,9440,7685,208,133
22,224,589,2492,2255,150,467,1368,1210,9805,8002,224,150
23,199,587,2509,2277,148,489,1409,1245,10193,8343,199,148
24,206,546,2334,2147,140,482,1429,1281,10533,8685,206,140
25,214,583,2458,2231,130,455,1394,1208,10902,9010,214,130
26,235,598,2500,2276,107,431,1384,1271,11265,9334,235,107
27,245,601,2437,2174,126,476,1444,1300,11621,9684,245,126
28,231,632,2501,2234,156,435,1370,1238,12022,9963,231,156
29,234,611,2442,2137,127,469,1387,1225,12399,10305,234,127
30,220,614,2449,2208,140,454,1410,1246,12793,10619,220,140
31,212,604,2355,2136,139,437,1335,1224,13185,10917,212,139
32,255,619,2485,2237,150,447,1394,1260,13549,11214,255,150
33,217,613,2480,2245,130,435,1394,1263,13945,11519,217,130
34,218,614,2502,2280,132,447,1400,1246,14341,11834,218,132
35,231,584,2443,2249,136,456,1356,1247,14694,12154,231,136
36,232,628,2525,2260,111,448,1378,1245,15090,12491,232,111
37,213,597,2480,2244,131,485,1409,1260,15474,12845,213,131
38,231,618,2476,2207,127,474,1456,1291,15861,13192,231,127
39,255,601,2467,2229,158,472,1414,1277,16207,13506,255,158
40,248,621,2456,2205,136,476,1411,1251,16580,13846,248,136
41,223,666,2553,2255,132,438,1355,1222,17023,14152,223,132
42,241,606,2448,2216,127,459,1400,1251,17388,14484,241,127
43,217,608,2479,2268,152,493,1441,1255,17779,14825,217,152
