,NDPD1,NHAPD1,NIPD1,NRPD1,NDPD2,NHAPD2,NIPD2,NRPD2,HOCC1PD,HOCC2PD,NPPD1,NPPD2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,591,2415,1859,8,460,1402,966,576,452,15,8
2,38,586,2438,1922,28,449,1375,987,1124,873,38,28
3,60,606,2440,1937,36,469,1453,1088,1670,1306,60,36
4,106,609,2512,2048,54,474,1377,1011,2173,1726,106,54
5,110,602,2446,1995,74,466,1395,1083,2665,2118,110,74
6,121,609,2420,2024,79,474,1403,1126,3153,2513,121,79
7,130,627,2491,2131,90,504,1442,1128,3650,2927,130,90
8,142,574,2347,2039,102,470,1364,1105,4082,3295,142,102
9,161,596,2446,2129,100,453,1400,1187,4517,3648,161,100
10,151,647,2527,2163,119,464,1409,1183,5013,3993,151,119
11,206,654,2598,2236,89,440,1367,1180,5461,4344,206,89
12,189,599,2518,2243,107,474,1410,1194,5871,4711,189,107
13,211,634,2450,2111,102,491,1424,1205,6294,5100,211,102
14,189,651,2456,2124,117,465,1496,1312,6756,5448,189,117
15,218,632,2583,2310,133,510,1442,1213,7170,5825,218,133
16,201,574,2369,2133,150,457,1382,1214,7543,6132,201,150
17,194,665,2564,2244,126,432,1382,1239,8014,6438,194,126
18,215,605,2456,2224,131,477,1395,1195,8404,6784,215,131
19,218,604,2449,2191,140,473,1416,1260,8790,7117,218,140
20,211,588,2416,2184,124,443,1368,1210,9167,7436,211,124
21,219,639,2532,2267,134,442,1319,1191,9587,7744,219,134
22,206,614,2485,2243,117,464,1345,1208,9995,8091,206,117
23,220,625,2577,2306,148,458,1426,1276,10400,8401,220,148
24,213,610,2422,2177,127,464,1441,1285,10797,8738,213,127
25,233,624,2517,2306,134,490,1371,1193,11188,9094,233,134
26,236,632,2465,2199,123,471,1399,1248,11584,9442,236,123
27,223,596,2490,2257,121,495,1497,1329,11957,9816,223,121
28,208,608,2434,2233,141,429,1310,1188,12357,10104,208,141
29,221,539,2392,2208,138,463,1405,1235,12675,10429,221,138
30,246,651,2427,2126,130,447,1396,1276,13080,10746,246,130
31,261,615,2471,2242,139,404,1299,1181,13434,11011,261,139
32,253,643,2467,2188,143,462,1395,1262,13824,11330,253,143
33,242,603,2400,2165,163,472,1380,1241,14185,11639,242,163
34,229,587,2477,2259,138,451,1374,1225,14543,11952,229,138
35,249,602,2350,2113,139,446,1336,1155,14896,12259,249,139
36,199,599,2421,2204,132,512,1404,1218,15296,12639,199,132
37,257,622,2413,2174,140,457,1370,1214,15661,12956,257,140
38,257,611,2459,2245,143,462,1396,1250,16015,13275,257,143
39,201,558,2420,2219,131,444,1351,1225,16372,13588,201,131
40,215,578,2449,2247,126,450,1321,1214,16735,13912,215,126
41,204,606,2485,2254,155,464,1436,1311,17137,14221,204,155
42,207,616,2492,2228,149,459,1378,1241,17546,14531,207,149
43,246,602,2471,2217,153,443,1427,1310,17902,14821,246,153
44,235,651,2481,2223,151,476,1427,1283,18318,15146,235,151
45,209,585,2359,2143,133,443,1414,1265,18694,15456,209,133
46,251,630,2521,2257,129,487,1396,1228,19073,15814,251,129
47,226,618,2543,2320,150,469,1367,1227,19465,16133,226,150
48,219,627,2436,2200,145,473,1404,1226,19873,16461,219,145
49,238,612,2549,2311,139,468,1403,1284,20247,16790,238,139
50,220,653,2562,2273,153,440,1321,1233,20680,17077,220,153
51,236,620,2374,2130,140,454,1462,1329,21064,17391,236,140
52,204,597,2428,2228,171,467,1393,1239,21457,17687,204,171
53,262,629,2486,2237,141,458,1387,1247,21824,18004,262,141
54,225,625,2488,2260,132,470,1442,1278,22224,18342,225,132
55,200,591,2490,2265,131,452,1375,1283,22615,18663,200,131
56,251,629,2523,2300,136,483,1471,1315,22993,19010,251,136
57,218,593,2480,2268,134,457,1391,1261,23368,19333,218,134
58,250,602,2476,2257,113,455,1370,1223,23720,19675,250,113
59,234,606,2478,2253,140,450,1387,1214,24092,19985,234,140
60,233,585,2511,2285,148,460,1361,1221,24444,20297,233,148
61,237,638,2460,2188,126,444,1359,1229,24845,20615,237,126
62,251,616,2525,2279,147,422,1399,1327,25210,20890,251,147
63,226,633,2474,2209,148,483,1442,1274,25617,21225,226,148
64,224,634,2431,2146,137,437,1398,1275,26027,21525,224,137
65,248,578,2517,2345,144,471,1361,1195,26357,21852,248,144
66,225,597,2396,2191,152,470,1415,1278,26729,22170,225,152
67,256,611,2469,2216,142,482,1406,1220,27084,22510,256,142
68,229,612,2453,2247,142,484,1453,1309,27467,22852,229,142
69,209,598,2461,2246,133,493,1358,1196,27856,23212,209,133
70,204,628,2501,2242,144,463,1419,1291,28280,23531,204,144
71,223,603,2442,2223,136,434,1410,1313,28660,23829,223,136
72,232,623,2516,2270,142,490,1376,1187,29051,24177,232,142
73,229,647,2437,2146,136,481,1363,1232,29469,24522,229,136
74,249,616,2484,2263,150,467,1379,1266,29836,24839,249,150
75,234,606,2443,2213,141,481,1465,1308,30208,25179,234,141
76,214,631,2417,2176,138,446,1367,1243,30625,25487,214,138
77,229,557,2468,2330,133,478,1392,1249,30953,25832,229,133
78,232,640,2509,2266,131,484,1416,1260,31361,26185,232,131
79,212,627,2533,2302,144,472,1437,1290,31776,26513,212,144
80,212,613,2494,2235,146,439,1405,1280,32177,26806,212,146
81,225,609,2453,2238,143,461,1423,1265,32561,27124,225,143
82,229,579,2397,2189,136,436,1322,1229,32911,27424,229,136
83,251,608,2461,2272,135,457,1379,1247,33268,27746,251,135
84,228,619,2511,2293,141,487,1425,1237,33659,28092,228,141
85,220,597,2453,2240,141,449,1395,1236,34036,28400,220,141
86,219,644,2466,2210,130,498,1422,1259,34461,28768,219,130
87,230,583,2416,2247,132,459,1400,1274,34814,29095,230,132
88,241,569,2370,2163,137,483,1432,1287,35142,29441,241,137
89,241,642,2480,2192,150,474,1372,1226,35543,29765,241,150
90,265,551,2405,2212,123,424,1360,1280,35829,30066,265,123
91,239,599,2442,2224,131,453,1413,1260,36189,30388,239,131
92,237,595,2436,2211,134,416,1351,1242,36547,30670,237,134
93,190,571,2453,2242,130,465,1395,1236,36928,31005,190,130
94,245,647,2483,2251,142,469,1434,1301,37330,31332,245,142
95,228,640,2476,2224,124,465,1420,1305,37742,31673,228,124
96,225,575,2393,2217,133,476,1411,1283,38092,32016,225,133
97,216,640,2505,2227,143,508,1430,1251,38516,32381,216,143
98,241,620,2484,2225,138,468,1437,1296,38895,32711,241,138
99,233,579,2556,2338,126,451,1374,1258,39241,33036,233,126
100,221,624,2432,2182,140,493,1444,1275,39644,33389,221,140
101,242,575,2413,2195,128,458,1361,1208,39977,33719,242,128
102,233,615,2484,2230,136,469,1357,1230,40359,34052,233,136
103,246,629,2415,2159,145,450,1417,1279,40742,34357,246,145
104,233,574,2448,2275,127,431,1325,1215,41083,34661,233,127
105,240,613,2445,2207,124,499,1494,1333,41456,35036,240,124
106,200,614,2551,2307,156,452,1372,1258,41870,35332,200,156
107,233,602,2454,2216,148,454,1334,1212,42239,35638,233,148
108,246,628,2456,2197,164,443,1373,1225,42621,35917,246,164
109,205,600,2476,2235,158,480,1412,1251,43016,36239,205,158
110,238,657,2543,2277,151,487,1407,1248,43435,36575,238,151
111,241,598,2488,2278,126,467,1324,1183,43792,36916,241,126
112,228,595,2459,2219,149,531,1468,1258,44159,37298,228,149
113,223,607,2468,2218,136,471,1429,1278,44543,37633,223,136
114,220,589,2343,2140,153,481,1472,1348,44912,37961,220,153
115,236,634,2499,2243,134,436,1369,1260,45310,38263,236,134
116,238,632,2500,2231,139,450,1419,1299,45704,38574,238,139
117,211,567,2440,2278,164,467,1440,1293,46060,38877,211,164
118,209,610,2534,2316,143,494,1425,1265,46461,39228,209,143
119,236,622,2391,2129,152,487,1420,1261,46847,39563,236,152
120,240,568,2443,2251,142,470,1426,1300,47175,39891,240,142
121,249,574,2503,2292,147,479,1392,1241,47500,40223,249,147
122,241,652,2491,2221,141,475,1376,1241,47911,40557,241,141
123,234,615,2532,2270,135,472,1396,1247,48292,40894,234,135
124,235,597,2448,2273,156,443,1427,1326,48654,41181,235,156
125,234,640,2555,2316,154,456,1437,1293,49060,41483,234,154
126,220,646,2472,2194,152,454,1448,1329,49486,41785,220,152
127,241,593,2436,2199,133,448,1401,1237,49838,42100,241,133
128,232,602,2466,2277,134,472,1423,1276,50208,42438,232,134
129,225,644,2550,2243,139,469,1366,1226,50627,42768,225,139
130,250,602,2469,2236,147,451,1383,1285,50979,43072,250,147
131,270,604,2402,2197,154,479,1381,1207,51313,43397,270,154
132,261,601,2482,2242,163,463,1425,1257,51653,43697,261,163
133,221,579,2447,2245,133,451,1376,1233,52011,44015,221,133
134,197,649,2450,2160,147,461,1394,1262,52463,44329,197,147
135,206,641,2494,2265,163,432,1339,1232,52898,44598,206,163
136,248,617,2541,2309,154,490,1379,1233,53267,44934,248,154
137,228,580,2412,2248,152,456,1335,1194,53619,45238,228,152
138,234,622,2448,2222,148,449,1376,1224,54007,45539,234,148
139,241,600,2446,2222,131,428,1381,1251,54366,45836,241,131
140,241,615,2367,2134,145,439,1350,1190,54740,46130,241,145
141,238,612,2403,2170,136,456,1364,1241,55114,46450,238,136
142,232,630,2604,2352,118,456,1433,1323,55512,46788,232,118
143,233,617,2445,2217,142,454,1356,1211,55896,47100,233,142
144,242,608,2525,2284,145,449,1367,1241,56262,47404,242,145
145,226,637,2479,2247,124,454,1454,1315,56673,47734,226,124
146,239,645,2507,2247,132,424,1345,1251,57079,48026,239,132
147,218,587,2448,2229,124,452,1316,1167,57448,48354,218,124
148,241,649,2525,2263,121,456,1411,1273,57856,48689,241,121
149,241,626,2574,2318,159,488,1346,1181,58241,49018,241,159
150,248,644,2509,2214,149,468,1377,1218,58637,49337,248,149
151,214,657,2470,2204,124,447,1403,1262,59080,49660,214,124
152,241,631,2437,2183,122,433,1420,1317,59470,49971,241,122
153,267,611,2479,2276,129,430,1436,1347,59814,50272,267,129
154,234,589,2457,2278,144,457,1436,1296,60169,50585,234,144
155,232,610,2464,2260,139,458,1409,1260,60547,50904,232,139
156,241,632,2481,2204,138,475,1472,1291,60938,51241,241,138
157,209,610,2402,2176,144,458,1357,1231,61339,51555,209,144
158,216,659,2538,2277,122,472,1403,1250,61782,51905,216,122
159,230,609,2414,2194,128,473,1464,1273,62161,52250,230,128
160,227,605,2494,2261,152,478,1360,1213,62539,52576,227,152
161,259,657,2482,2242,130,458,1418,1273,62937,52904,259,130
162,256,604,2451,2242,136,463,1411,1257,63285,53231,256,136
163,248,583,2442,2219,145,460,1416,1301,63620,53546,248,145
164,234,577,2405,2243,140,458,1376,1235,63963,53864,234,140
165,220,603,2413,2176,136,470,1434,1291,64346,54198,220,136
166,218,638,2482,2240,170,459,1372,1243,64766,54487,218,170
167,223,627,2428,2197,131,486,1366,1191,65170,54842,223,131
168,210,627,2426,2220,134,469,1396,1250,65587,55177,210,134
169,228,623,2455,2233,134,506,1439,1255,65982,55549,228,134
170,227,623,2447,2221,113,456,1405,1270,66378,55892,227,113
171,241,615,2456,2263,152,463,1439,1331,66752,56203,241,152
172,233,607,2513,2253,147,458,1422,1285,67126,56514,233,147
173,222,628,2546,2306,126,449,1406,1304,67532,56837,222,126
174,223,557,2433,2240,139,459,1399,1239,67866,57157,223,139
175,214,615,2471,2240,147,462,1388,1248,68267,57472,214,147
176,228,640,2465,2210,151,477,1430,1269,68679,57798,228,151
177,208,622,2455,2223,152,489,1408,1256,69093,58135,208,152
178,222,599,2459,2256,128,452,1372,1230,69470,58459,222,128
179,250,624,2499,2238,156,472,1397,1233,69844,58775,250,156
180,217,631,2461,2192,157,443,1341,1241,70258,59061,217,157
181,229,608,2478,2234,126,468,1358,1224,70637,59403,229,126
182,220,663,2537,2277,137,478,1476,1333,71080,59744,220,137
183,212,613,2447,2216,149,451,1402,1285,71481,60046,212,149
184,228,597,2539,2347,145,473,1432,1304,71850,60374,228,145
185,210,626,2464,2223,145,488,1415,1266,72266,60717,210,145
186,239,602,2531,2335,139,482,1464,1337,72629,61060,239,139
187,250,600,2505,2310,129,474,1385,1214,72979,61405,250,129
188,227,613,2506,2258,146,459,1387,1242,73365,61718,227,146
189,243,615,2388,2100,135,444,1381,1245,73737,62027,243,135
190,252,613,2528,2302,130,466,1361,1228,74098,62363,252,130
191,225,651,2612,2352,148,440,1429,1301,74524,62655,225,148
192,235,610,2459,2229,126,473,1388,1216,74899,63002,235,126
193,247,644,2443,2182,122,466,1398,1256,75296,63346,247,122
194,259,614,2453,2237,150,426,1370,1271,75651,63622,259,150
195,240,621,2434,2200,145,471,1407,1267,76032,63948,240,145
196,242,590,2438,2224,146,472,1397,1257,76380,64274,242,146
197,239,613,2480,2279,150,471,1484,1337,76754,64595,239,150
198,210,629,2448,2182,134,447,1399,1261,77173,64908,210,134
199,211,626,2425,2175,159,490,1413,1249,77588,65239,211,159
200,213,611,2507,2317,149,433,1401,1274,77986,65523,213,149
201,234,620,2463,2225,147,416,1347,1243,78372,65792,234,147
202,229,599,2468,2250,152,464,1445,1317,78742,66104,229,152
203,228,625,2494,2286,124,448,1402,1300,79139,66428,228,124
204,246,628,2439,2166,142,483,1403,1222,79521,66769,246,142
205,233,609,2418,2183,136,481,1413,1232,79897,67114,233,136
206,231,638,2468,2238,130,449,1403,1266,80304,67433,231,130
207,257,630,2489,2208,130,448,1364,1233,80677,67751,257,130
208,234,596,2396,2225,148,459,1381,1212,81039,68062,234,148
209,248,639,2440,2190,152,451,1355,1224,81430,68361,248,152
210,236,604,2427,2222,152,459,1395,1244,81798,68668,236,152
211,223,598,2433,2223,152,466,1396,1236,82173,68982,223,152
212,225,600,2454,2237,144,462,1334,1187,82548,69300,225,144
213,249,706,2635,2303,130,483,1423,1265,83005,69653,249,130
214,235,587,2447,2276,144,472,1437,1285,83357,69981,235,144
215,248,614,2435,2185,131,446,1346,1228,83723,70296,248,131
216,246,587,2450,2264,149,437,1397,1299,84064,70584,246,149
217,239,655,2519,2220,142,453,1425,1281,84480,70895,239,142
218,235,613,2471,2226,142,486,1457,1301,84858,71239,235,142
219,227,638,2609,2383,132,450,1421,1306,85269,71557,227,132
220,235,582,2442,2222,150,465,1400,1260,85616,71872,235,150
221,257,638,2449,2205,127,469,1382,1225,85997,72214,257,127
222,256,630,2497,2235,133,459,1365,1246,86371,72540,256,133
223,224,667,2533,2218,150,484,1407,1247,86814,72874,224,150
224,236,574,2386,2202,147,479,1384,1243,87152,73206,236,147
225,253,623,2412,2182,134,449,1380,1264,87522,73521,253,134
226,221,601,2561,2373,153,428,1378,1253,87902,73796,221,153
227,219,651,2487,2201,147,478,1329,1159,88334,74127,219,147
228,240,603,2493,2289,134,439,1353,1254,88697,74432,240,134
229,223,674,2606,2307,143,461,1343,1197,89148,74750,223,143
230,241,606,2383,2159,148,436,1417,1286,89513,75038,241,148
231,245,620,2444,2210,143,462,1408,1233,89888,75357,245,143
232,232,673,2557,2298,154,484,1424,1287,90329,75687,232,154
233,269,588,2464,2243,144,477,1421,1267,90648,76020,269,144
234,208,637,2478,2225,136,436,1303,1184,91077,76320,208,136
235,226,628,2499,2248,131,444,1335,1222,91479,76633,226,131
236,232,629,2505,2233,122,449,1350,1207,91876,76960,232,122
237,252,608,2497,2286,122,464,1430,1267,92232,77302,252,122
238,236,568,2423,2208,138,458,1358,1201,92564,77622,236,138
239,216,655,2536,2234,137,424,1416,1310,93003,77909,216,137
240,238,642,2490,2237,139,479,1389,1243,93407,78249,238,139
241,256,639,2450,2203,135,481,1478,1313,93790,78595,256,135
242,251,635,2453,2199,133,419,1321,1220,94174,78881,251,133
243,251,588,2493,2311,126,456,1366,1231,94511,79211,251,126
244,245,668,2558,2305,133,512,1450,1259,94934,79590,245,133
245,237,680,2542,2244,127,491,1418,1251,95377,79954,237,127
246,228,604,2469,2275,152,452,1387,1241,95753,80254,228,152
247,247,622,2508,2302,146,471,1381,1243,96128,80579,247,146
248,248,655,2518,2247,133,445,1372,1254,96535,80891,248,133
249,233,607,2469,2226,169,448,1474,1361,96909,81170,233,169
250,236,592,2402,2175,140,474,1434,1268,97265,81504,236,140
251,239,608,2450,2242,141,484,1394,1208,97634,81847,239,141
252,236,608,2457,2234,148,477,1395,1218,98006,82176,236,148
253,217,608,2392,2167,151,480,1410,1263,98397,82505,217,151
254,247,591,2362,2161,127,437,1467,1363,98741,82815,247,127
255,231,617,2449,2198,169,472,1390,1286,99127,83118,231,169
256,245,616,2500,2256,138,439,1362,1268,99498,83419,245,138
257,246,664,2564,2267,126,456,1397,1300,99916,83749,246,126
258,222,584,2346,2145,136,470,1423,1287,100278,84083,222,136
259,235,605,2449,2199,145,456,1405,1276,100648,84394,235,145
260,246,600,2495,2275,121,448,1368,1212,101002,84721,246,121
261,225,591,2509,2317,129,466,1366,1211,101368,85058,225,129
262,229,613,2472,2240,130,508,1489,1265,101752,85436,229,130
263,245,635,2519,2278,154,462,1416,1292,102142,85744,245,154
264,234,602,2472,2248,117,448,1362,1260,102510,86075,234,117
265,226,604,2432,2188,126,473,1406,1281,102888,86422,226,126
266,197,597,2374,2168,144,461,1389,1242,103288,86739,197,144
267,231,602,2413,2199,136,465,1350,1199,103659,87068,231,136
268,249,603,2470,2257,124,476,1439,1273,104013,87420,249,124
269,218,638,2515,2230,140,453,1367,1288,104433,87733,218,140
270,238,612,2481,2229,139,510,1433,1239,104807,88104,238,139
271,239,607,2445,2221,127,486,1450,1295,105175,88463,239,127
272,229,613,2459,2222,158,456,1375,1260,105559,88761,229,158
273,251,628,2488,2279,150,439,1386,1262,105936,89050,251,150
274,227,640,2437,2150,132,445,1380,1235,106349,89363,227,132
275,227,673,2471,2167,140,466,1423,1290,106795,89689,227,140
276,245,618,2477,2257,124,491,1384,1223,107168,90056,245,124
277,265,620,2446,2238,139,443,1373,1278,107523,90360,265,139
278,230,634,2469,2195,143,480,1442,1298,107927,90697,230,143
279,231,564,2453,2283,141,480,1498,1355,108260,91036,231,141
280,225,632,2489,2232,132,478,1397,1247,108667,91382,225,132
281,253,644,2457,2192,149,467,1494,1385,109058,91700,253,149
282,230,611,2528,2272,162,453,1386,1284,109439,91991,230,162
283,257,599,2511,2317,155,445,1342,1253,109781,92281,257,155
284,242,599,2468,2268,178,438,1368,1233,110138,92541,242,178
285,242,585,2394,2193,134,476,1436,1259,110481,92883,242,134
286,215,622,2465,2204,139,473,1396,1246,110888,93217,215,139
287,241,668,2479,2195,139,457,1415,1250,111315,93535,241,139
288,237,642,2476,2240,142,486,1413,1269,111720,93879,237,142
