,NDPD1,NHAPD1,NIPD1,NRPD1,NDPD2,NHAPD2,NIPD2,NRPD2,HOCC1PD,HOCC2PD,NPPD1,NPPD2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,615,2457,1870,9,458,1447,1009,600,449,15,9
2,64,627,2450,1890,28,482,1394,978,1163,903,64,28
3,62,617,2506,2007,49,451,1419,1064,1718,1305,62,49
4,93,655,2517,2003,61,459,1436,1098,2280,1703,93,61
5,109,595,2482,2076,68,499,1447,1095,2766,2134,109,68
6,141,651,2476,2044,73,477,1360,1071,3276,2538,141,73
7,139,644,2517,2117,91,476,1394,1099,3781,2923,139,91
8,157,619,2375,2024,95,508,1446,1147,4243,3336,157,95
9,164,619,2407,2077,122,459,1417,1204,4698,3673,164,122
10,168,599,2391,2051,110,485,1399,1172,5129,4048,168,110
11,174,644,2491,2158,109,419,1388,1208,5599,4358,174,109
12,167,615,2493,2185,134,520,1448,1223,6047,4744,167,134
13,188,604,2467,2202,132,473,1429,1207,6463,5085,188,132
14,237,609,2461,2168,125,507,1442,1182,6835,5467,237,125
15,219,647,2445,2142,121,468,1442,1240,7263,5814,219,121
16,227,639,2508,2191,166,449,1415,1234,7675,6097,227,166
17,186,628,2468,2166,163,465,1379,1217,8117,6399,186,163
18,236,665,2463,2165,136,453,1401,1288,8546,6716,236,136
19,213,644,2509,2246,139,483,1423,1229,8977,7060,213,139
20,192,630,2450,2210,128,448,1369,1229,9415,7380,192,128
21,229,612,2566,2308,125,446,1436,1305,9798,7701,229,125
22,229,600,2395,2158,126,488,1451,1266,10169,8063,229,126
23,221,634,2503,2237,149,442,1396,1296,10582,8356,221,149
24,247,586,2370,2166,143,443,1358,1210,10921,8656,247,143
25,192,599,2544,2334,137,451,1450,1296,11328,8970,192,137
26,260,616,2452,2236,120,444,1432,1312,11684,9294,260,120
27,251,635,2425,2158,144,446,1413,1247,12068,9596,251,144
28,214,576,2416,2254,139,457,1359,1222,12430,9914,214,139
29,226,621,2471,2238,143,462,1389,1261,12825,10233,226,143
30,208,544,2370,2206,135,480,1394,1241,13161,10578,208,135
31,240,603,2402,2184,136,481,1420,1259,13524,10923,240,136
32,223,605,2392,2133,113,451,1435,1304,13906,11261,223,113
33,244,626,2494,2259,117,469,1393,1232,14288,11613,244,117
34,252,641,2408,2157,140,475,1371,1224,14677,11948,252,140
35,215,603,2366,2151,139,486,1460,1286,15065,12295,215,139
36,222,588,2308,2072,142,488,1475,1311,15431,12641,222,142
37,224,603,2409,2180,134,431,1321,1219,15810,12938,224,134
38,227,677,2471,2177,148,457,1370,1220,16260,13247,227,148
39,251,616,2438,2206,129,449,1385,1235,16625,13567,251,129
40,244,615,2456,2222,169,502,1459,1308,16996,13900,244,169
41,212,583,2394,2205,143,438,1363,1233,17367,14195,212,143
42,228,607,2432,2204,122,418,1361,1238,17746,14491,228,122
43,234,619,2493,2207,159,474,1349,1232,18131,14806,234,159
44,219,577,2427,2196,138,466,1374,1239,18489,15134,219,138
45,247,603,2362,2160,132,471,1377,1223,18845,15473,247,132
46,232,654,2518,2252,146,451,1373,1253,19267,15778,232,146
47,244,634,2456,2196,128,472,1405,1261,19657,16122,244,128
48,258,622,2477,2226,140,488,1443,1267,20021,16470,258,140
49,240,593,2426,2229,147,473,1366,1207,20374,16796,240,147
50,237,609,2473,2246,166,478,1360,1188,20746,17108,237,166
51,230,605,2490,2250,137,464,1338,1206,21121,17435,230,137
52,203,628,2562,2329,140,443,1391,1268,21546,17738,203,140
53,212,595,2497,2281,155,484,1408,1214,21929,18067,212,155
54,225,560,2411,2221,141,465,1409,1275,22264,18391,225,141
55,219,614,2518,2303,154,473,1414,1267,22659,18710,219,154
56,198,620,2452,2233,143,463,1388,1269,23081,19030,198,143
57,237,640,2491,2210,122,466,1408,1274,23484,19374,237,122
58,237,654,2484,2179,129,475,1396,1262,23901,19720,237,129
59,261,570,2413,2212,124,488,1422,1245,24210,20084,261,124
60,256,608,2476,2236,118,454,1404,1302,24562,20420,256,118
61,229,690,2523,2234,146,471,1413,1244,25023,20745,229,146
62,222,611,2540,2309,148,472,1399,1260,25412,21069,222,148
63,224,601,2432,2185,145,506,1439,1261,25789,21430,224,145
64,251,603,2476,2258,150,480,1412,1261,26141,21760,251,150
65,236,619,2445,2225,146,465,1368,1238,26524,22079,236,146
66,215,629,2487,2223,119,449,1423,1302,26938,22409,215,119
67,230,603,2454,2230,150,495,1423,1244,27311,22754,230,150
68,232,588,2509,2272,160,490,1432,1269,27667,23084,232,160
69,223,614,2471,2222,134,438,1363,1238,28058,23388,223,134
70,236,577,2394,2231,123,471,1418,1286,28399,23736,236,123
71,235,613,2538,2282,148,501,1464,1285,28777,24089,235,148
72,236,641,2504,2251,149,436,1365,1269,29182,24376,236,149
73,245,658,2549,2277,137,476,1418,1276,29595,24715,245,137
74,243,637,2512,2252,140,421,1321,1227,29989,24996,243,140
75,260,595,2496,2292,135,476,1418,1264,30324,25337,260,135
76,256,607,2434,2197,149,457,1390,1271,30675,25645,256,149
77,230,613,2472,2244,144,424,1308,1180,31058,25925,230,144
78,235,583,2451,2246,115,457,1359,1209,31406,26267,235,115
79,235,590,2457,2239,165,461,1404,1284,31761,26563,235,165
80,213,637,2550,2271,130,496,1415,1239,32185,26929,213,130
81,248,598,2403,2183,156,467,1464,1289,32535,27240,248,156
82,240,605,2519,2277,147,476,1408,1257,32900,27569,240,147
83,254,617,2492,2222,123,454,1410,1291,33263,27900,254,123
84,216,613,2443,2206,134,441,1400,1252,33660,28207,216,134
85,260,600,2499,2296,141,438,1428,1336,34000,28504,260,141
