,NDPD1,NHAPD1,NIPD1,NRPD1,NDPD2,NHAPD2,NIPD2,NRPD2,HOCC1PD,HOCC2PD,NPPD1,NPPD2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,620,2546,1946,14,502,1416,937,605,488,15,14
2,39,600,2408,1872,28,501,1404,959,1166,961,39,28
3,71,649,2534,1993,42,459,1348,965,1744,1378,71,42
4,97,622,2449,1979,50,477,1429,1067,2269,1805,97,50
5,113,631,2486,2064,60,449,1375,1099,2787,2194,113,60
6,117,585,2427,2031,71,479,1393,1113,3255,2602,117,71
7,156,614,2445,2083,93,471,1404,1122,3713,2980,156,93
8,146,605,2468,2127,115,465,1358,1090,4172,3330,146,115
9,181,576,2488,2157,110,471,1334,1094,4567,3691,181,110
10,181,647,2423,2032,103,470,1419,1229,5033,4058,181,103
11,172,590,2419,2113,100,471,1349,1136,5451,4429,172,100
12,184,666,2472,2104,101,479,1421,1202,5933,4807,184,101
13,224,583,2463,2175,119,488,1458,1230,6292,5176,224,119
14,228,628,2487,2183,108,451,1387,1229,6692,5519,228,108
15,202,571,2329,2076,120,459,1398,1222,7061,5858,202,120
16,210,601,2501,2255,113,496,1441,1263,7452,6241,210,113
17,206,605,2390,2112,143,500,1422,1257,7851,6598,206,143
18,214,592,2487,2301,145,479,1402,1230,8229,6932,214,145
19,216,605,2452,2179,136,423,1364,1255,8618,7219,216,136
20,201,641,2492,2210,145,459,1426,1277,9058,7533,201,145
21,244,623,2423,2162,136,478,1461,1312,9437,7875,244,136
22,211,623,2463,2184,156,464,1410,1264,9849,8183,211,156
23,235,608,2490,2265,158,474,1374,1187,10222,8499,235,158
24,226,609,2495,2228,130,465,1389,1238,10605,8834,226,130
25,232,590,2441,2263,130,446,1381,1251,10963,9150,232,130
26,212,555,2368,2171,128,454,1367,1244,11306,9476,212,128
27,227,595,2453,2204,121,436,1349,1247,11674,9791,227,121
28,225,663,2532,2249,174,474,1448,1279,12112,10091,225,174
29,251,593,2490,2245,131,503,1411,1245,12454,10463,251,131
30,241,652,2436,2147,138,437,1398,1253,12865,10762,241,138
31,232,653,2640,2322,145,476,1388,1223,13286,11093,232,145
32,208,599,2473,2254,150,457,1362,1246,13677,11400,208,150
33,238,612,2476,2232,152,477,1411,1244,14051,11725,238,152
34,256,610,2482,2240,156,526,1481,1266,14405,12095,256,156
35,265,633,2502,2248,111,460,1413,1258,14773,12444,265,111
36,250,666,2519,2253,122,457,1383,1247,15189,12779,250,122
37,253,604,2475,2250,136,491,1407,1225,15540,13134,253,136
38,229,661,2559,2263,156,463,1369,1235,15972,13441,229,156
39,224,635,2576,2325,162,484,1452,1268,16383,13763,224,162
40,219,582,2403,2191,144,463,1370,1248,16746,14082,219,144
41,219,606,2527,2310,130,481,1381,1223,17133,14433,219,130
42,226,595,2420,2228,135,464,1451,1340,17502,14762,226,135
43,208,617,2516,2287,129,477,1453,1307,17911,15110,208,129
44,242,599,2459,2230,134,453,1411,1305,18268,15429,242,134
45,236,627,2425,2175,124,482,1453,1311,18659,15787,236,124
46,233,644,2519,2244,148,500,1390,1227,19070,16139,233,148
47,249,616,2466,2222,131,447,1366,1271,19437,16455,249,131
48,196,587,2489,2322,123,480,1414,1265,19828,16812,196,123
49,251,622,2434,2193,146,465,1367,1263,20199,17131,251,146
50,222,588,2463,2232,122,485,1430,1290,20565,17494,222,122
51,235,611,2455,2207,137,418,1377,1286,20941,17775,235,137
52,228,623,2470,2188,135,469,1415,1264,21336,18109,228,135
53,275,617,2428,2231,144,450,1389,1267,21678,18415,275,144
54,257,558,2406,2216,133,465,1396,1259,21979,18747,257,133
55,208,615,2497,2229,124,493,1441,1286,22386,19116,208,124
56,222,614,2454,2226,155,468,1390,1232,22778,19429,222,155
57,228,656,2496,2207,138,460,1369,1232,23206,19751,228,138
58,250,612,2463,2198,124,463,1393,1235,23568,20090,250,124
59,237,587,2363,2172,132,469,1379,1272,23918,20427,237,132
60,251,612,2445,2215,140,499,1495,1320,24279,20786,251,140
61,242,612,2466,2237,159,446,1310,1211,24649,21073,242,159
62,212,601,2453,2232,146,434,1418,1313,25038,21361,212,146
63,226,557,2431,2283,129,467,1394,1264,25369,21699,226,129
64,230,688,2503,2200,131,488,1458,1251,25827,22056,230,131
65,251,611,2473,2262,158,460,1373,1269,26187,22358,251,158
66,223,634,2517,2243,146,471,1379,1219,26598,22683,223,146
67,240,590,2505,2280,142,495,1452,1279,26948,23036,240,142
68,246,604,2441,2242,136,470,1446,1320,27306,23370,246,136
69,246,626,2415,2116,134,440,1358,1217,27686,23676,246,134
70,253,633,2511,2260,147,468,1450,1281,28066,23997,253,147
