,NDPD1,NHAPD1,NIPD1,NRPD1,NDPD2,NHAPD2,NIPD2,NRPD2,HOCC1PD,HOCC2PD,NPPD1,NPPD2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,17,615,2485,1894,9,447,1342,908,598,438,17,9
2,66,614,2504,1973,21,477,1398,987,1146,894,66,21
3,60,595,2452,1986,39,453,1420,1059,1681,1308,60,39
4,106,640,2497,2007,55,444,1348,1031,2215,1697,106,55
5,115,651,2568,2084,61,452,1416,1100,2751,2088,115,61
6,135,619,2459,2046,77,482,1420,1136,3235,2493,135,77
7,155,612,2448,2061,86,440,1414,1173,3692,2847,155,86
8,140,576,2465,2144,101,455,1371,1124,4128,3201,140,101
9,147,589,2421,2100,116,438,1342,1116,4570,3523,147,116
10,173,614,2410,2079,106,464,1416,1203,5011,3881,173,106
11,179,642,2457,2109,110,466,1462,1259,5474,4237,179,110
12,165,625,2514,2198,105,438,1419,1235,5934,4570,165,105
13,184,575,2384,2136,105,445,1368,1164,6325,4910,184,105
14,171,626,2502,2190,130,447,1359,1152,6780,5227,171,130
15,204,591,2477,2208,119,466,1411,1207,7167,5574,204,119
16,222,630,2458,2158,127,486,1469,1283,7575,5933,222,127
17,211,611,2383,2137,133,471,1437,1240,7975,6271,211,133
18,231,652,2467,2155,135,458,1379,1208,8396,6594,231,135
19,204,629,2452,2201,120,458,1436,1275,8821,6932,204,120
20,226,618,2417,2111,140,477,1370,1194,9213,7269,226,140
21,214,642,2503,2232,153,490,1548,1380,9641,7606,214,153
22,209,650,2496,2248,126,442,1351,1228,10082,7922,209,126
23,244,562,2342,2145,121,463,1426,1293,10400,8264,244,121
24,223,627,2510,2255,138,447,1370,1221,10804,8573,223,138
25,248,651,2541,2267,129,476,1438,1269,11207,8920,248,129
26,226,599,2503,2296,143,457,1383,1217,11580,9234,226,143
27,211,574,2411,2209,141,476,1391,1246,11943,9569,211,141
28,273,577,2402,2175,148,505,1438,1256,12247,9926,273,148
29,235,591,2423,2181,145,470,1429,1293,12603,10251,235,145
30,240,622,2518,2282,127,444,1360,1233,12985,10568,240,127
31,202,654,2465,2176,123,493,1394,1231,13437,10938,202,123
32,231,646,2490,2220,159,458,1471,1340,13852,11237,231,159
33,207,619,2468,2221,146,503,1439,1244,14264,11594,207,146
34,223,591,2537,2305,136,470,1402,1226,14632,11928,223,136
35,212,609,2487,2298,139,449,1387,1259,15029,12238,212,139
36,233,624,2533,2287,171,482,1429,1240,15420,12549,233,171
37,255,600,2502,2262,161,469,1475,1329,15765,12857,255,161
38,252,549,2451,2259,150,441,1408,1313,16062,13148,252,150
39,226,602,2505,2294,134,466,1447,1324,16438,13480,226,134
40,237,614,2510,2307,141,480,1425,1304,16815,13819,237,141
41,207,632,2405,2137,125,464,1482,1319,17240,14158,207,125
42,253,618,2439,2177,135,443,1358,1217,17605,14466,253,135
43,241,575,2454,2245,135,455,1435,1333,17939,14786,241,135
44,244,605,2447,2237,163,474,1418,1260,18300,15097,244,163
45,195,638,2523,2254,150,486,1432,1277,18743,15433,195,150
46,259,609,2415,2194,141,435,1360,1212,19093,15727,259,141
47,250,631,2433,2210,141,503,1403,1229,19474,16089,250,141
48,243,623,2471,2250,126,433,1356,1255,19854,16396,243,126
49,225,632,2450,2197,153,479,1386,1221,20261,16722,225,153
50,233,624,2461,2187,125,457,1403,1274,20652,17054,233,125
51,236,623,2417,2176,148,446,1428,1301,21039,17352,236,148
52,236,602,2459,2228,142,456,1401,1291,21405,17666,236,142
53,251,620,2435,2182,132,452,1381,1241,21774,17986,251,132
54,228,609,2502,2263,147,503,1429,1252,22155,18342,228,147
55,243,655,2575,2304,133,462,1375,1222,22567,18671,243,133
56,237,595,2370,2178,119,458,1405,1280,22925,19010,237,119
57,232,578,2437,2243,146,460,1457,1324,23271,19324,232,146
58,230,610,2584,2367,131,444,1362,1256,23651,19637,230,131
59,220,639,2522,2241,153,460,1387,1202,24070,19944,220,153
60,215,618,2447,2177,146,481,1424,1234,24473,20279,215,146
61,213,629,2478,2205,130,471,1408,1266,24889,20620,213,130
62,228,597,2468,2235,154,462,1381,1232,25258,20928,228,154
63,241,617,2454,2209,133,454,1360,1235,25634,21249,241,133
64,248,630,2616,2403,143,458,1384,1262,26016,21564,248,143
65,222,604,2381,2154,129,452,1400,1272,26398,21887,222,129
66,237,625,2503,2280,126,458,1416,1303,26786,22219,237,126
67,239,650,2450,2198,165,463,1344,1176,27197,22517,239,165
68,239,622,2525,2288,136,472,1398,1244,27580,22853,239,136
69,239,647,2469,2208,136,511,1404,1219,27988,23228,239,136
70,228,628,2527,2281,132,502,1459,1323,28388,23598,228,132
71,269,585,2393,2199,151,472,1447,1307,28704,23919,269,151
72,249,652,2441,2167,139,479,1391,1228,29107,24259,249,139
73,229,622,2487,2253,142,451,1388,1295,29500,24568,229,142
74,233,588,2473,2275,165,508,1455,1273,29855,24911,233,165
75,212,621,2468,2232,135,466,1372,1249,30264,25242,212,135
76,248,597,2375,2173,142,481,1398,1239,30613,25581,248,142
77,223,646,2522,2223,124,438,1403,1311,31036,25895,223,124
78,255,645,2494,2218,152,448,1325,1206,31426,26191,255,152
79,218,650,2489,2220,155,459,1403,1263,31858,26495,218,155
80,223,625,2511,2254,140,434,1349,1242,32260,26789,223,140
81,233,587,2444,2259,137,472,1378,1244,32614,27124,233,137
82,222,612,2484,2302,153,460,1352,1224,33004,27431,222,153
83,238,615,2475,2242,146,477,1396,1218,33381,27762,238,146
84,214,626,2554,2346,149,485,1394,1218,33793,28098,214,149
85,206,618,2453,2255,144,475,1369,1221,34205,28429,206,144
86,255,611,2506,2311,148,476,1402,1217,34561,28757,255,148
87,234,588,2488,2260,147,483,1444,1291,34915,29093,234,147
88,198,603,2420,2181,139,445,1374,1280,35320,29399,198,139
89,220,624,2460,2184,144,442,1390,1300,35724,29697,220,144
90,255,643,2541,2301,141,436,1308,1187,36112,29992,255,141
91,227,624,2471,2252,141,446,1366,1241,36509,30297,227,141
92,243,622,2485,2240,140,453,1424,1301,36888,30610,243,140
93,248,614,2508,2294,139,471,1475,1345,37254,30942,248,139
94,250,615,2543,2331,126,487,1326,1125,37619,31303,250,126
95,228,610,2432,2199,143,492,1443,1301,38001,31652,228,143
96,250,632,2508,2242,143,429,1360,1229,38383,31938,250,143
97,233,570,2362,2148,144,423,1341,1231,38720,32217,233,144
98,246,599,2468,2212,154,460,1360,1252,39073,32523,246,154
99,224,622,2524,2334,121,470,1384,1214,39471,32872,224,121
100,221,616,2414,2134,146,476,1436,1246,39866,33202,221,146
101,215,603,2435,2213,150,467,1378,1224,40254,33519,215,150
102,242,593,2428,2215,138,463,1416,1255,40605,33844,242,138
103,213,587,2426,2224,142,452,1418,1270,40979,34154,213,142
104,252,660,2553,2286,124,471,1373,1206,41387,34501,252,124
105,209,652,2468,2212,138,454,1407,1253,41830,34817,209,138
106,263,638,2488,2211,163,454,1355,1205,42205,35108,263,163
107,246,632,2489,2244,124,430,1396,1264,42591,35414,246,124
108,220,589,2435,2223,155,454,1370,1203,42960,35713,220,155
