,NDPD1,NHAPD1,NIPD1,NRPD1,NDPD2,NHAPD2,NIPD2,NRPD2,HOCC1PD,HOCC2PD,NPPD1,NPPD2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,23,609,2469,1892,5,448,1355,930,586,443,23,5
2,40,627,2499,1947,21,450,1359,972,1173,872,40,21
3,65,589,2440,1977,27,492,1409,1016,1697,1337,65,27
4,86,605,2535,2070,52,465,1367,1046,2216,1750,86,52
5,102,620,2445,2003,64,504,1454,1108,2734,2190,102,64
6,135,591,2411,2023,85,494,1464,1149,3190,2599,135,85
7,140,642,2520,2117,85,448,1422,1185,3692,2962,140,85
8,159,669,2566,2159,89,492,1524,1256,4202,3365,159,89
9,205,618,2461,2087,104,472,1384,1139,4615,3733,205,104
10,161,567,2358,2056,97,464,1356,1153,5021,4100,161,97
11,187,609,2493,2163,110,447,1397,1203,5443,4437,187,110
12,183,605,2444,2127,119,494,1434,1204,5865,4812,183,119
13,196,640,2457,2181,116,449,1409,1255,6309,5145,196,116
14,197,610,2518,2246,103,479,1458,1249,6722,5521,197,103
15,193,641,2443,2127,129,422,1357,1234,7170,5814,193,129
16,212,646,2508,2242,133,443,1376,1231,7604,6124,212,133
17,218,637,2448,2152,121,448,1429,1263,8023,6451,218,121
18,207,641,2479,2203,127,455,1377,1224,8457,6779,207,127
19,217,605,2469,2195,122,468,1429,1277,8845,7125,217,122
20,219,549,2479,2289,133,472,1358,1149,9175,7464,219,133
21,216,588,2431,2186,135,441,1308,1188,9547,7770,216,135
22,232,617,2524,2267,129,459,1409,1261,9932,8100,232,129
23,211,601,2463,2235,120,451,1328,1168,10322,8431,211,120
24,221,632,2468,2168,137,462,1392,1229,10733,8756,221,137
25,230,607,2427,2200,142,455,1448,1306,11110,9069,230,142
26,205,622,2538,2307,121,471,1442,1299,11527,9419,205,121
27,226,636,2537,2293,134,480,1416,1274,11937,9765,226,134
28,235,606,2493,2270,125,444,1407,1270,12308,10084,235,125
29,253,632,2549,2290,139,481,1433,1286,12687,10426,253,139
30,213,608,2475,2228,140,489,1419,1259,13082,10775,213,140
31,233,631,2458,2224,144,434,1317,1209,13480,11065,233,144
32,230,623,2529,2258,146,462,1396,1242,13873,11381,230,146
33,245,613,2490,2221,147,471,1383,1231,14241,11705,245,147
34,253,573,2428,2243,134,440,1390,1280,14561,12011,253,134
35,229,621,2433,2175,158,502,1455,1253,14953,12355,229,158
36,231,618,2519,2294,133,479,1442,1279,15340,12701,231,133
37,250,650,2549,2292,143,438,1329,1222,15740,12996,250,143
38,236,591,2440,2216,136,478,1454,1291,16095,13338,236,136
39,230,621,2516,2293,137,472,1464,1326,16486,13673,230,137
40,228,646,2514,2247,141,429,1340,1221,16904,13961,228,141
41,253,621,2510,2253,120,461,1421,1298,17272,14302,253,120
42,243,624,2486,2249,145,495,1431,1250,17653,14652,243,145
43,224,597,2464,2259,137,475,1371,1201,18026,14990,224,137
44,250,638,2521,2260,140,465,1365,1214,18414,15315,250,140
45,235,590,2409,2238,149,457,1428,1322,18769,15623,235,149
46,219,641,2475,2183,131,446,1422,1298,19191,15938,219,131
47,220,629,2449,2219,132,429,1371,1252,19600,16235,220,132
48,249,640,2546,2279,132,489,1402,1212,19991,16592,249,132
49,262,641,2473,2207,138,452,1430,1265,20370,16906,262,138
50,233,584,2528,2325,139,431,1381,1283,20721,17198,233,139
51,220,638,2503,2258,140,450,1381,1264,21139,17508,220,140
52,214,602,2459,2224,146,441,1415,1287,21527,17803,214,146
53,236,608,2551,2343,144,495,1472,1303,21899,18154,236,144
54,239,628,2533,2266,137,464,1423,1297,22288,18481,239,137
